# Blood Smith — staging cards (new rows only, no header)
# Class identity: forges from blood and bone. Primary stats RESONANCE + IRON.
# Existing roster: 12 L1 core + 2 power + 1 capstone = 13. Filling L2, L3 (x3 paths), L5, L9 (x3 paths).

# --- L2 Level-Up (2) ---
card_blood_smith_crimson_apprenticeship	Crimson Apprenticeship	Level-up: your bone-forged weapons remember each wound. Once per combat, when you pay HP for a card, recover half that HP at end of turn.	level_up	1	1		"{""apCost"":""0"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
card_blood_smith_hammer_and_vein	Hammer and Vein	Level-up: the anvil beats in time with your pulse. Pay 3 HP to gain +1 AP this turn; cannot be used while below half HP.	level_up	1	1		"{""apCost"":""0"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"

# --- L3 Subclass: The Weaponsmith (4) — forges living weapons from blood and bone ---
card_blood_smith_the_weaponsmith_quickening_blade	Quickening Blade	A fresh-forged blade still wet with marrow-heat. Pay 3 HP to draw a living weapon for the round; your next attack echoes against a second enemy.	subclass_the_weaponsmith	1	1		"{""apCost"":""1"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
card_blood_smith_the_weaponsmith_hungry_edge	Hungry Edge	The blade drinks before it strikes. Pay 4 HP; your next melee attack this turn applies Bleed 4 and heals you for the Bleed damage dealt.	subclass_the_weaponsmith	1	1		"{""apCost"":""1"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
card_blood_smith_the_weaponsmith_splintercast	Splintercast	Shatter a living weapon mid-swing. Deal 9 + IRON damage split among up to three enemies; pay 5 HP; apply Bleed 2 to each struck.	subclass_the_weaponsmith	1	1		"{""apCost"":""2"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
card_blood_smith_the_weaponsmith_reforge_on_the_anvil	Reforge on the Anvil	Tear a blade apart and rebuild it sharper. Pay 6 HP to refresh one combat card you've played this turn; that card deals +IRON damage next time it resolves this combat.	subclass_the_weaponsmith	1	1		"{""apCost"":""2"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"

# --- L3 Subclass: The Armorer (4) — grows armor from sacrificed flesh ---
card_blood_smith_the_armorer_second_skin	Second Skin	Grow a carapace of hardened flesh. Pay 4 HP; apply Guard 6 + IRON; gain Regen 2 while the Guard holds.	subclass_the_armorer	1	1		"{""apCost"":""1"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
card_blood_smith_the_armorer_shared_mantle	Shared Mantle	Peel off a sheet of your own plating for an ally. Pay 5 HP; target ally gains Guard 5 + IRON and the next melee attacker against them takes 4 resonant damage.	subclass_the_armorer	1	1		"{""apCost"":""1"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
card_blood_smith_the_armorer_gorget_of_grudges	Gorget of Grudges	Every blow that bites you feeds the plate. Pay 6 HP; until end of round, the first attack that hits you is reduced to half damage and the attacker is hit with Expose 3.	subclass_the_armorer	1	1		"{""apCost"":""2"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
card_blood_smith_the_armorer_martyrs_lattice	Martyr's Lattice	Lace your flesh into an ally's wounds. Pay 8 HP; an ally within 15 feet heals 10 + RESONANCE and gains Guard 4 + IRON; you take no healing this turn.	subclass_the_armorer	1	1		"{""apCost"":""2"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"

# --- L3 Subclass: The Sculptor (4) — shapes blood into constructs and servants ---
card_blood_smith_the_sculptor_marrow_hound	Marrow Hound	Sculpt a lope-shaped servant from cooling blood. Pay 4 HP; summon a Marrow Hound (1 AP to command; melee attack 5 + RESONANCE). Lasts until end of combat or destroyed.	subclass_the_sculptor	1	1		"{""apCost"":""1"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
card_blood_smith_the_sculptor_sanguine_sentry	Sanguine Sentry	Raise a still, watchful figure from a pool of your own blood. Pay 5 HP; place a Sentry in an adjacent space that grants you Guard 3 while you stand beside it and strikes the first enemy to move past.	subclass_the_sculptor	1	1		"{""apCost"":""1"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
card_blood_smith_the_sculptor_vein_puppeteer	Vein Puppeteer	Twitch the threads of a bleeding foe. Target enemy suffering Bleed loses 1 AP next turn and is pulled 10 feet; pay 4 HP.	subclass_the_sculptor	1	1		"{""apCost"":""2"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
card_blood_smith_the_sculptor_gallery_of_the_fallen	Gallery of the Fallen	Every enemy felled this combat leaves a red impression; you call it back. Pay 7 HP; summon a silent Echo of the last enemy slain (half its HP, uses its basic attack for you) until end of combat.	subclass_the_sculptor	1	1		"{""apCost"":""2"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"

# --- L5 Power (1 to fill 3rd slot) ---
card_blood_smith_coronary_forge	Coronary Forge	The heart beats, and iron answers. Pay 12 HP; until end of next turn, every card you play refunds 1 HP per point of damage dealt and applies Bleed 2 on hit.	power_card	1	1		"{""apCost"":""3"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"

# --- L9 Subclass Power: The Weaponsmith (2) ---
card_blood_smith_the_weaponsmith_the_seventh_vein	The Seventh Vein	Open the last, deepest artery and forge the blade only you can wield. Pay 16 HP; deal 24 + IRON damage to one target; if they survive, apply Bleed 5 and Expose 5 and the blade strikes again for 12 + IRON at end of your next turn.	subclass_power_the_weaponsmith	1	1		"{""apCost"":""4"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
card_blood_smith_the_weaponsmith_thousand_edge_dance	Thousand-Edge Dance	Shatter every weapon you've forged this combat into a storm of splinters. Pay 14 HP; deal 8 + IRON damage to each enemy within 15 feet per Weaponsmith card you've played this combat (min 2, max 6 triggers).	subclass_power_the_weaponsmith	1	1		"{""apCost"":""4"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"

# --- L9 Subclass Power: The Armorer (2) ---
card_blood_smith_the_armorer_cathedral_of_bone	Cathedral of Bone	Erupt a dome of rib and plate over your allies. Pay 18 HP; all allies within 15 feet gain Guard 10 + IRON and immunity to Bleed for 2 rounds; enemies entering the dome take 6 + RESONANCE resonant damage.	subclass_power_the_armorer	1	1		"{""apCost"":""4"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
card_blood_smith_the_armorer_the_last_plate	The Last Plate	Shed your final layer of flesh as perfect armor. Pay HP equal to half your current total; you cannot be reduced below 1 HP for 2 rounds and reflect half of all damage taken back to its source.	subclass_power_the_armorer	1	1		"{""apCost"":""5"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"

# --- L9 Subclass Power: The Sculptor (2) ---
card_blood_smith_the_sculptor_legion_from_a_bowl	Legion From a Bowl	Pour out a year of stored blood and shape an army. Pay 20 HP; summon 3 Marrow Hounds and 1 Sanguine Sentry at your position; they act on your turn and dissolve after 3 rounds.	subclass_power_the_sculptor	1	1		"{""apCost"":""4"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
card_blood_smith_the_sculptor_effigy_of_the_living	Effigy of the Living	Sculpt a replica of an enemy in red wax and set it bleeding. Pay 12 HP; target enemy copies its current Bleed stacks onto itself each round for 3 rounds, and any healing they receive heals you instead.	subclass_power_the_sculptor	1	1		"{""apCost"":""4"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""false"",""aiTag"":""""}"
